,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score
103,25.0,1.0,WA,Ferry,,0,0,0.082,0.066,0.082,0.204,0.565,3.102
104,25.0,1.0,WA,Franklin,Medium metro,63,356,0.106,0.013,0.059,0.069,0.753,3.35
105,25.0,1.0,WA,Garfield,,0,0,0.031,0.029,0.085,0.292,0.563,3.327
106,150.0,4.0,WA,Grant,Micropolitan,42,606,0.032,0.052,0.108,0.146,0.661,3.35
107,81.0,2.0,WA,Grays Harbor,Micropolitan,18,746,0.03,0.009,0.087,0.213,0.662,3.47
108,25.0,1.0,WA,Island,Micropolitan,25,604,0.015,0.009,0.066,0.15,0.759,3.627
109,25.0,1.0,WA,Jefferson,,0,0,0.011,0.0,0.064,0.171,0.754,3.657
110,5354.0,25.0,WA,King,Large central metro,989,"14,905",0.016,0.02,0.05,0.191,0.724,3.589
111,337.0,2.0,WA,Kitsap,Medium metro,28,"2,093",0.024,0.003,0.051,0.136,0.786,3.657
112,25.0,1.0,WA,Kittitas,Micropolitan,21,306,0.032,0.084,0.033,0.179,0.672,3.375
113,42.0,2.0,WA,Klickitat,,0,0,0.038,0.029,0.113,0.288,0.532,3.247
114,158.0,2.0,WA,Lewis,Micropolitan,18,821,0.033,0.112,0.128,0.111,0.616,3.165
115,73.0,2.0,WA,Lincoln,,0,0,0.017,0.086,0.023,0.108,0.765,3.516
116,25.0,1.0,WA,Mason,Micropolitan,10,533,0.011,0.024,0.091,0.152,0.721,3.546
117,90.0,3.0,WA,Okanogan,Noncore,21,348,0.042,0.066,0.075,0.199,0.617,3.281
118,30.0,2.0,WA,Pacific,,0,0,0.082,0.016,0.128,0.063,0.712,3.309
119,75.0,1.0,WA,Pend Oreille,,0,0,0.027,0.122,0.052,0.212,0.587,3.21
120,1648.0,8.0,WA,Pierce,Large fringe metro,316,"7,650",0.028,0.057,0.103,0.206,0.606,3.305
121,10.0,1.0,WA,San Juan,,0,0,0.015,0.004,0.021,0.229,0.73,3.653
122,205.0,3.0,WA,Skagit,Small metro,38,"1,301",0.035,0.097,0.037,0.177,0.653,3.314
